epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1297.72,0.75999,0.38081,0.95746,0.93566,0.80999,0.86808,0.64357,1.04101,0.50315,0.99666,0.00016755,0.00016755,0.00016755
109,1696.04,0.77829,0.38546,0.95476,0.93387,0.81336,0.87176,0.64777,1.0236,0.49046,0.99113,0.000155761,0.000155761,0.000155761
110,2101.31,0.80281,0.39141,0.97263,0.93543,0.81647,0.87326,0.64985,1.02474,0.49069,0.99234,0.000143972,0.000143972,0.000143972
111,320.09,0.80585,0.36295,0.96273,0.95172,0.79086,0.86514,0.64402,1.03962,0.50035,0.99638,0.000132183,0.000132183,0.000132183
112,609.541,0.79577,0.35763,0.956,0.9471,0.80141,0.86807,0.64405,1.03307,0.49843,0.99355,0.000120393,0.000120393,0.000120393
113,904.179,0.79444,0.35382,0.95894,0.9367,0.81073,0.86785,0.6465,1.02769,0.49972,0.9912,0.000108604,0.000108604,0.000108604
114,1196.04,0.7851,0.3464,0.95682,0.94212,0.80725,0.87161,0.64969,1.02072,0.4918,0.98954,9.68148e-05,9.68148e-05,9.68148e-05
115,1486.46,0.78593,0.34632,0.95579,0.94105,0.80931,0.86992,0.64667,1.02424,0.49549,0.99081,8.50255e-05,8.50255e-05,8.50255e-05
116,1798.77,0.77826,0.3443,0.95127,0.94426,0.80893,0.86877,0.64726,1.02622,0.49945,0.99101,7.32362e-05,7.32362e-05,7.32362e-05
117,2242.14,0.77916,0.34593,0.95293,0.94087,0.81216,0.87168,0.6481,1.02215,0.49287,0.98854,6.1447e-05,6.1447e-05,6.1447e-05
118,263.506,0.70617,0.35593,0.93568,0.95039,0.80754,0.87429,0.65354,1.01725,0.49551,0.98995,4.96578e-05,4.96578e-05,4.96578e-05
119,523.782,0.68362,0.34406,0.92741,0.94795,0.80924,0.87141,0.64982,1.01976,0.49445,0.99099,3.78685e-05,3.78685e-05,3.78685e-05
120,798.459,0.68636,0.34073,0.92642,0.94699,0.81023,0.87194,0.64946,1.02024,0.49487,0.99201,2.60792e-05,2.60792e-05,2.60792e-05
